Event,Average Age
"Art Competitions Mixed Sculpturing, Unknown Event, Rowing Men's Coxed Eights, Rowing Men's Coxless Pairs",58.0
Art Competitions Mixed Music,55.0
"Art Competitions Mixed Sculpturing, Unknown Event",53.0
"Basketball Men's Basketball, Equestrianism Mixed Dressage, Individual",52.0
"Shooting Mixed Rapid-Fire Pistol, 25 metres, Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",50.0
"Shooting Men's Free Pistol, 50 metres, Shooting Mixed Skeet",48.0
Bobsleigh Men's Four/Five,47.0
"Sailing Mixed Three Person Keelboat, Shooting Men's Trap, Shooting Men's Trap, Team",46.0
"Shooting Mixed Small-Bore Rifle, Prone, 50 metres, Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres, Weightlifting Men's Middleweight",43.0
"Shooting Men's Free Pistol, 50 metres, Shooting Men's Small-Bore Rifle, Prone, 50 metres, Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",43.0
"Art Competitions Mixed Painting, Applied Arts, Swimming Men's 1,500 metres Freestyle, Swimming Men's 100 metres Freestyle, Swimming Men's 200 metres Freestyle, Swimming Men's 400 metres Freestyle",43.0
"Shooting Mixed Rapid-Fire Pistol, 25 metres, Shooting Mixed Small-Bore Rifle, Prone, 50 metres",43.0
"Shooting Mixed Free Pistol, 50 metres, Shooting Mixed Small-Bore Rifle, Prone, 50 metres",43.0
"Sailing Mixed Multihull, Sailing Mixed Three Person Keelboat",42.5
"Fencing Men's Foil, Team, Fencing Men's Sabre, Individual, Fencing Men's epee, Team",42.0
"Rowing Men's Coxed Eights, Sailing Mixed 5.5 metres",42.0
"Art Competitions Mixed Sculpturing, Unknown Event, Volleyball Men's Volleyball",42.0
"Art Competitions Mixed Architecture, Unknown Event",42.0
"Shooting Mixed Skeet, Shooting Mixed Small-Bore Rifle, Prone, 50 metres",42.0
"Biathlon Men's 10 kilometres Sprint, Biathlon Men's 20 kilometres, Shooting Men's Double Trap, Shooting Men's Trap",41.0
"Athletics Men's 400 metres, Boxing Men's Flyweight",41.0
"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team, Shooting Men's Free Rifle, Prone, 600 metres, Shooting Men's Rapid-Fire Pistol, 25 metres, Shooting Men's Small-Bore Rifle, Prone, 50 metres",39.0
"Bobsleigh Men's Four, Bobsleigh Men's Two, Rowing Men's Coxed Pairs",39.0
"Art Competitions Mixed Painting, Paintings, Art Competitions Mixed Painting, Unknown Event, Fencing Men's Foil, Individual, Fencing Men's Foil, Team, Fencing Men's Sabre, Individual, Fencing Men's epee, Individual, Fencing Men's epee, Team",39.0
"Shooting Men's Air Rifle, 10 metres, Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",39.0
"Athletics Men's Triple Jump, Football Men's Football, Judo Men's Half-Lightweight, Wrestling Men's Light-Heavyweight, Freestyle",38.0
"Art Competitions Mixed Architecture, Architectural Designs",38.0
"Canoeing Men's Canadian Doubles, Slalom, Curling Men's Curling, Taekwondo Men's Welterweight",38.0
"Biathlon Women's 15 kilometres, Biathlon Women's 7.5 kilometres Sprint, Cross Country Skiing Women's 30 kilometres, Cross Country Skiing Women's 4 x 5 kilometres Relay",38.0
"Art Competitions Mixed Painting, Unknown Event",38.0
"Shooting Men's Air Pistol, 10 metres, Shooting Men's Free Pistol, 50 metres, Shooting Men's Rapid-Fire Pistol, 25 metres, Shooting Mixed Free Pistol, 50 metres, Shooting Mixed Rapid-Fire Pistol, 25 metres",38.0
"Athletics Men's 56-pound Weight Throw, Athletics Men's Hammer Throw",37.33
"Cycling Men's Mountainbike, Cross-Country, Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team, Shooting Men's Military Rifle, Any Position, 600 metres",37.0
"Judo Men's Middleweight, Shooting Men's Small-Bore Rifle, Prone, 50 metres",37.0
"Cross Country Skiing Women's 10 kilometres, Cross Country Skiing Women's 15 kilometres, Cross Country Skiing Women's 15 km Skiathlon, Cross Country Skiing Women's 4 x 5 kilometres Relay, Cross Country Skiing Women's 5/5 kilometres Pursuit, Cross Country Skiing Women's Sprint",37.0
"Shooting Men's Free Pistol, 50 metres, Shooting Mixed Rapid-Fire Pistol, 25 metres",36.0
"Sailing Mixed Two Person Heavyweight Dinghy, Trampolining Men's Individual",36.0
"Athletics Men's 56-pound Weight Throw, Athletics Men's Discus Throw, Athletics Men's Hammer Throw, Tug-Of-War Men's Tug-Of-War",36.0
"Fencing Men's epee, Individual, Shooting Men's Rapid-Fire Pistol, 25 metres",36.0
"Athletics Men's Discus Throw, Athletics Men's Discus Throw, Both Hands, Athletics Men's Discus Throw, Greek Style, Athletics Men's Javelin Throw, Freestyle, Athletics Men's Shot Put, Athletics Men's Stone Throw",36.0
