Sport,Average Age
"Art Competitions, Swimming",43.0
Art Competitions,42.0
"Art Competitions, Volleyball",42.0
"Art Competitions, Rowing",39.0
"Art Competitions, Fencing",39.0
"Bobsleigh, Rowing",39.0
"Canoeing, Curling, Taekwondo",38.0
"Athletics, Football, Judo, Wrestling",38.0
"Judo, Shooting",37.0
"Basketball, Equestrianism",36.5
"Sailing, Trampolining",36.0
"Art Competitions, Table Tennis",34.0
"Modern Pentathlon, Polo",33.0
"Art Competitions, Handball",33.0
"Gymnastics, Softball, Speed Skating",33.0
"Snowboarding, Triathlon",33.0
"Sailing, Shooting",32.5
"Cycling, Skeleton",32.0
"Shooting, Wrestling",32.0
"Athletics, Diving, Swimming",32.0
"Biathlon, Nordic Combined, Ski Jumping",32.0
Equestrianism,31.35
"Canoeing, Sailing",31.0
"Cycling, Sailing",31.0
"Baseball, Fencing",31.0
"Cycling, Sailing, Short Track Speed Skating",31.0
"Football, Handball, Shooting, Swimming",31.0
"Athletics, Boxing, Football, Hockey",31.0
"Archery, Fencing, Shooting, Wrestling",31.0
"Cross Country Skiing, Water Polo",31.0
"Athletics, Ice Hockey",31.0
"Biathlon, Shooting",30.67
"Ice Hockey, Shooting",30.33
Curling,30.1
"Curling, Rowing",30.0
"Judo, Table Tennis",30.0
"Bobsleigh, Football",30.0
"Bobsleigh, Cross Country Skiing",30.0
"Art Competitions, Athletics, Weightlifting",30.0
"Equestrianism, Volleyball",30.0
Shooting,29.95
Golf,29.64
"Fencing, Shooting",29.5
"Shooting, Weightlifting",29.33
"Athletics, Badminton",29.0
"Shooting, Swimming",29.0
"Fencing, Gymnastics",29.0
"Football, Hockey",29.0
"Cycling, Shooting",28.5
"Basketball, Shooting",28.0
"Boxing, Weightlifting",28.0
"Basketball, Boxing, Table Tennis",28.0
"Boxing, Sailing",28.0
"Beach Volleyball, Cycling",28.0
Lacrosse,28.0
"Badminton, Hockey",28.0
"Bobsleigh, Ice Hockey",28.0
"Bobsleigh, Gymnastics, Volleyball",28.0
"Football, Handball",28.0
"Art Competitions, Cross Country Skiing, Gymnastics",28.0
Skeleton,27.94
Beach Volleyball,27.84
Sailing,27.54
"Handball, Judo",27.5
"Cycling, Handball",27.5
"Hockey, Ice Hockey",27.5
"Athletics, Rowing",27.2
"Archery, Handball, Volleyball",27.0
"Gymnastics, Weightlifting",27.0
"Canoeing, Handball",27.0
"Shooting, Speed Skating, Trampolining",27.0
"Athletics, Taekwondo",27.0
"Curling, Softball",27.0
"Rowing, Weightlifting",27.0
"Bobsleigh, Cycling",27.0
"Shooting, Triathlon",27.0
"Basketball, Modern Pentathlon, Rowing",27.0
"Badminton, Rowing",27.0
"Canoeing, Volleyball",27.0
"Hockey, Judo",27.0
"Fencing, Water Polo",27.0
"Hockey, Modern Pentathlon",27.0
"Fencing, Judo",27.0
"Baseball, Weightlifting",27.0
"Modern Pentathlon, Swimming, Triathlon",27.0
"Triathlon, Water Polo",27.0
"Rhythmic Gymnastics, Water Polo",27.0
"Basketball, Handball",27.0
"Rowing, Sailing",27.0
Bobsleigh,26.87
Triathlon,26.67
"Canoeing, Shooting",26.5
"Athletics, Boxing",26.38
"Athletics, Judo",26.33
"Equestrianism, Fencing",26.25
Rugby Sevens,26.09
"Biathlon, Rowing",26.0
"Rowing, Water Polo",26.0
"Biathlon, Sailing",26.0
"Swimming, Table Tennis",26.0
"Badminton, Softball",26.0
"Alpine Skiing, Ski Jumping",26.0
"Athletics, Biathlon",26.0
"Athletics, Football, Wrestling",26.0
"Athletics, Boxing, Equestrianism",26.0
"Biathlon, Cross Country Skiing, Cycling",26.0
"Short Track Speed Skating, Weightlifting",26.0
"Canoeing, Water Polo",26.0
"Equestrianism, Modern Pentathlon",26.0
"Basketball, Boxing",26.0
"Athletics, Equestrianism",26.0
"Water Polo, Weightlifting",26.0
"Basketball, Football",26.0
"Shooting, Water Polo",26.0
"Cross Country Skiing, Football",26.0
"Canoeing, Ice Hockey",26.0
"Gymnastics, Handball, Weightlifting",26.0
"Bobsleigh, Cross Country Skiing, Modern Pentathlon, Nordic Combined",26.0
"Hockey, Snowboarding",26.0
"Canoeing, Handball, Rowing, Wrestling",26.0
"Sailing, Wrestling",26.0
"Athletics, Table Tennis",26.0
"Athletics, Tug-Of-War",25.93
"Athletics, Wrestling",25.86
"Ice Hockey, Speed Skating",25.67
"Judo, Swimming",25.67
Baseball,25.59
"Ice Hockey, Wrestling",25.5
Softball,25.34
"Boxing, Shooting",25.33
"Athletics, Handball",25.33
"Football, Wrestling",25.33
Handball,25.26
"Athletics, Fencing",25.2
Archery,25.02
"Cycling, Swimming",25.0
"Fencing, Motorboating",25.0
"Handball, Speed Skating",25.0
"Gymnastics, Sailing",25.0
"Fencing, Softball",25.0
"Fencing, Football, Synchronized Swimming",25.0
"Hockey, Shooting",25.0
"Ice Hockey, Water Polo",25.0
"Canoeing, Fencing, Modern Pentathlon",25.0
"Basketball, Wrestling",25.0
"Biathlon, Ice Hockey",25.0
"Equestrianism, Handball",25.0
"Basketball, Synchronized Swimming",25.0
"Athletics, Rowing, Weightlifting, Wrestling",25.0
"Alpine Skiing, Judo, Rowing",25.0
"Athletics, Tug-Of-War, Wrestling",25.0
"Athletics, Sailing, Swimming",25.0
"Modern Pentathlon, Shooting",25.0
"Speed Skating, Swimming",25.0
"Alpine Skiing, Handball",25.0
"Tug-Of-War, Weightlifting, Wrestling",25.0
"Basketball, Bobsleigh",25.0
"Snowboarding, Water Polo",25.0
"Swimming, Weightlifting, Wrestling",25.0
"Athletics, Shooting",25.0
Modern Pentathlon,24.85
"Athletics, Hockey",24.83
"Ice Hockey, Rowing",24.8
"Canoeing, Cycling",24.75
Fencing,24.73
"Baseball, Football",24.67
"Athletics, Weightlifting",24.6
"Boxing, Handball",24.5
"Equestrianism, Weightlifting",24.5
"Bobsleigh, Luge",24.5
"Fencing, Handball",24.5
"Football, Ice Hockey",24.5
Wrestling,24.42
Badminton,24.41
"Bobsleigh, Hockey",24.4
Ice Hockey,24.38
"Athletics, Modern Pentathlon",24.33
"Basketball, Canoeing",24.33
"Hockey, Wrestling",24.33
Basketball,24.32
Rugby,24.31
Hockey,24.28
Biathlon,24.27
Judo,24.19
Volleyball,24.18
Table Tennis,24.14
Athletics,24.13
"Athletics, Cycling",24.08
"Fencing, Modern Pentathlon",24.04
