Sport,Full_Name,Total Medals
Alpine Skiing,Kjetil Andr Aamodt,8
"Alpine Skiing, Athletics",Chirine Njeim,0
"Alpine Skiing, Athletics, Baseball",Li Lei,0
"Alpine Skiing, Boxing",Carlos Alberto Martnez,0
"Alpine Skiing, Boxing, Gymnastics, Ice Hockey",Peter Mller,3
"Alpine Skiing, Canoeing",Peter Scott,0
"Alpine Skiing, Cross Country Skiing",Nadezhda Vasileva,0
"Alpine Skiing, Cycling, Freestyle Skiing",Georgia Simmerling,1
"Alpine Skiing, Equestrianism",Petar Angelov,0
"Alpine Skiing, Freestyle Skiing",Hedda Helene Berntsen,1
"Alpine Skiing, Handball",Bjrgvin Bjrgvinsson,0
"Alpine Skiing, Ice Hockey",Michael Mair,0
"Alpine Skiing, Judo, Rowing",Georgi Georgiev,0
"Alpine Skiing, Luge",Jeremy James Palmer-Tomkinson,0
"Alpine Skiing, Sailing",Jeanette Lunde (-Lunder),0
"Alpine Skiing, Short Track Speed Skating, Taekwondo",Kim So-Hui,3
"Alpine Skiing, Ski Jumping",James Couttet,2
"Alpine Skiing, Snowboarding",Roland Fischnaller,0
"Alpine Skiing, Swimming",Gang Yeong-Seo,0
"Alpine Skiing, Volleyball",Jennifer Taylor,0
"Alpine Skiing, Weightlifting",David Mercer,1
Archery,Kim Su-Nyeong,6
"Archery, Athletics",Hiroshi Yamamoto,2
"Archery, Boxing",Oleksandr Yatsenko,0
"Archery, Canoeing, Handball",Wu Yanan,0
"Archery, Fencing, Shooting, Wrestling",Bla Nagy,0
"Archery, Gymnastics",Yang Bo,0
"Archery, Handball, Volleyball",Kim Nam-Sun,3
"Archery, Hockey",Choi Mi-Sun,2
"Archery, Hockey, Volleyball",Lee Eun-Gyeong,2
"Archery, Judo",Shen Jun,0
"Archery, Table Tennis",Xu Jing,1
"Archery, Weightlifting",Kuo Cheng-Wei,0
Art Competitions,Adolf Hoch,1
"Art Competitions, Athletics",Paul-Ren Martin,1
"Art Competitions, Athletics, Weightlifting",Alexandre Maspoli,1
"Art Competitions, Basketball",Vlastibor Klime,0
"Art Competitions, Cross Country Skiing, Gymnastics",Georges Dubois,1
"Art Competitions, Fencing",Edgar Isaac Seligman,3
"Art Competitions, Handball",Ernst Gerlach,1
"Art Competitions, Rowing",Jerzy Walerian Skolimowski,2
"Art Competitions, Shooting",Michel Joseph Ravarino,0
"Art Competitions, Swimming",William Wilson,0
"Art Competitions, Table Tennis",Robert Frank,0
"Art Competitions, Volleyball",Ladislav Toman,1
Athletics,Paavo Johannes Nurmi,12
"Athletics, Badminton",Zhang Jun,2
"Athletics, Baseball, Fencing, Handball, Speed Skating",Zhang Li,0
"Athletics, Basketball",Liu Qing,2
"Athletics, Basketball, Hockey",Baldev Singh,0
"Athletics, Biathlon",Hannu Kalevi Posti,0
"Athletics, Bobsleigh",Lauryn Chenet Williams,3
"Athletics, Boxing",Viktor Hryhorovych Savchenko,2
"Athletics, Boxing, Equestrianism",Muhammad Khan,0
"Athletics, Boxing, Football, Hockey",Mohamed El-Sayed,1
"Athletics, Boxing, Hockey, Synchronized Swimming, Water Polo",Kim Seong-Eun,0
"Athletics, Canoeing","David ""Dave"" Smith",1
"Athletics, Cross Country Skiing",Martin Stokken,1
"Athletics, Cross Country Skiing, Cycling, Gymnastics",Wang Yan,2
"Athletics, Cross Country Skiing, Equestrianism, Hockey, Weightlifting",Wolfgang Mller,0
"Athletics, Cross Country Skiing, Nordic Combined",Bla (Vojtech-) Szepes (Strauch-),1
"Athletics, Cycling",Juris Silovs,2
"Athletics, Diving, Swimming",Carl August Hjalmar Johansson,2
"Athletics, Diving, Swimming, Table Tennis",Wang Hao,6
"Athletics, Equestrianism",Ian Roberts,0
"Athletics, Fencing",Tams Kovcs,2
"Athletics, Fencing, Judo",Kim Mi-Jeong,1
"Athletics, Fencing, Modern Pentathlon",Bertil Gustafsson Uggla,2
"Athletics, Fencing, Shooting",Zhang Jian,0
"Athletics, Fencing, Water Polo",Zsolt Nmeth,0
"Athletics, Figure Skating",Robert Paul,1
"Athletics, Figure Skating, Hockey",Hiroshi Tanaka,0
"Athletics, Football",Wang Liping,2
"Athletics, Football, Judo, Wrestling",Mamadou Diallo,0
